1. motion_neutral_01 | tags=neutral | intensity=low | duration=1980ms | file=motions/clips/motion_neutral_01.json
2. motion_neutral_02 | tags=neutral | intensity=mid | duration=1890ms | file=motions/clips/motion_neutral_02.json
3. motion_neutral_03 | tags=neutral | intensity=low | duration=2160ms | file=motions/clips/motion_neutral_03.json
4. motion_neutral_04 | tags=neutral | intensity=mid | duration=1800ms | file=motions/clips/motion_neutral_04.json
5. motion_neutral_05 | tags=neutral | intensity=low | duration=2070ms | file=motions/clips/motion_neutral_05.json
6. motion_neutral_06 | tags=neutral | intensity=mid | duration=1980ms | file=motions/clips/motion_neutral_06.json
7. motion_neutral_07 | tags=neutral | intensity=high | duration=1620ms | file=motions/clips/motion_neutral_07.json
8. motion_neutral_08 | tags=neutral | intensity=low | duration=2070ms | file=motions/clips/motion_neutral_08.json
9. motion_happy_01 | tags=happy | intensity=mid | duration=1500ms | file=motions/clips/motion_happy_01.json
10. motion_happy_02 | tags=happy | intensity=high | duration=1410ms | file=motions/clips/motion_happy_02.json
11. motion_happy_03 | tags=happy | intensity=mid | duration=1680ms | file=motions/clips/motion_happy_03.json
12. motion_happy_04 | tags=happy | intensity=high | duration=1320ms | file=motions/clips/motion_happy_04.json
13. motion_happy_05 | tags=happy | intensity=low | duration=1770ms | file=motions/clips/motion_happy_05.json
14. motion_happy_06 | tags=happy | intensity=mid | duration=1680ms | file=motions/clips/motion_happy_06.json
15. motion_happy_07 | tags=happy | intensity=high | duration=1320ms | file=motions/clips/motion_happy_07.json
16. motion_happy_08 | tags=happy | intensity=mid | duration=1590ms | file=motions/clips/motion_happy_08.json
17. motion_happy_09 | tags=happy | intensity=low | duration=1860ms | file=motions/clips/motion_happy_09.json
18. motion_happy_10 | tags=happy | intensity=high | duration=1320ms | file=motions/clips/motion_happy_10.json
19. motion_sad_01 | tags=sad | intensity=low | duration=2380ms | file=motions/clips/motion_sad_01.json
20. motion_sad_02 | tags=sad | intensity=low | duration=2470ms | file=motions/clips/motion_sad_02.json
21. motion_sad_03 | tags=sad | intensity=mid | duration=2380ms | file=motions/clips/motion_sad_03.json
22. motion_sad_04 | tags=sad | intensity=low | duration=2380ms | file=motions/clips/motion_sad_04.json
23. motion_sad_05 | tags=sad | intensity=mid | duration=2290ms | file=motions/clips/motion_sad_05.json
24. motion_sad_06 | tags=sad | intensity=low | duration=2560ms | file=motions/clips/motion_sad_06.json
25. motion_sad_07 | tags=sad | intensity=mid | duration=2200ms | file=motions/clips/motion_sad_07.json
26. motion_sad_08 | tags=sad | intensity=high | duration=2110ms | file=motions/clips/motion_sad_08.json
27. motion_angry_01 | tags=angry | intensity=mid | duration=1400ms | file=motions/clips/motion_angry_01.json
28. motion_angry_02 | tags=angry | intensity=high | duration=1310ms | file=motions/clips/motion_angry_02.json
29. motion_angry_03 | tags=angry | intensity=mid | duration=1580ms | file=motions/clips/motion_angry_03.json
30. motion_angry_04 | tags=angry | intensity=high | duration=1220ms | file=motions/clips/motion_angry_04.json
31. motion_angry_05 | tags=angry | intensity=low | duration=1670ms | file=motions/clips/motion_angry_05.json
32. motion_angry_06 | tags=angry | intensity=high | duration=1400ms | file=motions/clips/motion_angry_06.json
33. motion_angry_07 | tags=angry | intensity=mid | duration=1400ms | file=motions/clips/motion_angry_07.json
34. motion_angry_08 | tags=angry | intensity=high | duration=1310ms | file=motions/clips/motion_angry_08.json
35. motion_surprised_01 | tags=surprised | intensity=mid | duration=1200ms | file=motions/clips/motion_surprised_01.json
36. motion_surprised_02 | tags=surprised | intensity=high | duration=1110ms | file=motions/clips/motion_surprised_02.json
37. motion_surprised_03 | tags=surprised | intensity=mid | duration=1380ms | file=motions/clips/motion_surprised_03.json
38. motion_surprised_04 | tags=surprised | intensity=high | duration=1020ms | file=motions/clips/motion_surprised_04.json
