1. motion_neutral_09 | tags=neutral | intensity=mid | priority=3 | variation=neutral_weight_shift | body=full
2. motion_neutral_10 | tags=neutral | intensity=low | priority=2 | variation=neutral_attentive_nod | body=upper
3. motion_neutral_11 | tags=neutral | intensity=mid | priority=3 | variation=neutral_open_posture | body=full
4. motion_neutral_12 | tags=neutral | intensity=high | priority=4 | variation=neutral_ready_shift | body=full
5. motion_happy_11 | tags=happy | intensity=mid | priority=6 | variation=happy_bounce_step | body=full
6. motion_happy_12 | tags=happy | intensity=high | priority=6 | variation=happy_open_arms | body=full
7. motion_happy_13 | tags=happy | intensity=low | priority=6 | variation=happy_quick_shuffle | body=full
8. motion_happy_14 | tags=happy | intensity=mid | priority=5 | variation=happy_talk_beats | body=upper
9. motion_happy_15 | tags=happy | intensity=high | priority=6 | variation=happy_side_sway | body=full
10. motion_sad_09 | tags=sad | intensity=low | priority=3 | variation=sad_slumped_shift | body=full
11. motion_sad_10 | tags=sad | intensity=mid | priority=4 | variation=sad_self_hold | body=upper
12. motion_sad_11 | tags=sad | intensity=low | priority=4 | variation=sad_slow_step_back | body=full
13. motion_sad_12 | tags=sad | intensity=mid | priority=5 | variation=sad_head_drop_recover | body=full
14. motion_angry_09 | tags=angry | intensity=mid | priority=7 | variation=angry_forward_press | body=full
15. motion_angry_10 | tags=angry | intensity=high | priority=6 | variation=angry_point_stance | body=full
16. motion_angry_11 | tags=angry | intensity=low | priority=6 | variation=angry_stomp | body=full
17. motion_angry_12 | tags=angry | intensity=mid | priority=5 | variation=angry_controlled_breath | body=upper
18. motion_surprised_09 | tags=surprised | intensity=high | priority=7 | variation=surprised_recoil_step | body=full
19. motion_surprised_10 | tags=surprised | intensity=mid | priority=6 | variation=surprised_hands_up | body=full
20. motion_surprised_11 | tags=surprised | intensity=low | priority=6 | variation=surprised_quick_pivot | body=full
21. motion_surprised_12 | tags=surprised | intensity=high | priority=5 | variation=surprised_settle | body=upper
22. motion_thinking_09 | tags=thinking | intensity=mid | priority=4 | variation=thinking_chin_touch | body=upper
23. motion_thinking_10 | tags=thinking | intensity=low | priority=4 | variation=thinking_pacing_shift | body=full
24. motion_thinking_11 | tags=thinking | intensity=mid | priority=4 | variation=thinking_micro_gesture | body=upper
25. motion_thinking_12 | tags=thinking | intensity=high | priority=5 | variation=thinking_decision_step | body=full
26. motion_relaxed_09 | tags=relaxed | intensity=low | priority=2 | variation=relaxed_breath | body=upper
27. motion_relaxed_10 | tags=relaxed | intensity=mid | priority=3 | variation=relaxed_sway | body=full
28. motion_relaxed_11 | tags=relaxed | intensity=low | priority=3 | variation=relaxed_stretch | body=full
29. motion_relaxed_12 | tags=relaxed | intensity=mid | priority=3 | variation=relaxed_grounded_shift | body=full
30. motion_bridge_07 | tags=bridge | intensity=low | priority=1 | variation=bridge_settle_in | body=full
31. motion_bridge_08 | tags=bridge | intensity=mid | priority=3 | variation=bridge_turn_reset | body=full
32. motion_bridge_09 | tags=bridge | intensity=high | priority=2 | variation=bridge_release | body=upper
